,ID_code,target
0,test_0,1
1,test_1,1
2,test_2,1
3,test_3,1
4,test_4,0
5,test_5,0
6,test_6,0
7,test_7,1
8,test_8,0
9,test_9,0
10,test_10,0
11,test_11,0
12,test_12,1
13,test_13,0
14,test_14,0
15,test_15,0
16,test_16,1
17,test_17,0
18,test_18,0
19,test_19,0
20,test_20,1
21,test_21,0
22,test_22,0
23,test_23,0
24,test_24,0
25,test_25,0
26,test_26,0
27,test_27,0
28,test_28,0
29,test_29,1
30,test_30,1
31,test_31,0
32,test_32,1
33,test_33,1
34,test_34,0
35,test_35,0
36,test_36,0
37,test_37,0
38,test_38,0
39,test_39,0
40,test_40,0
41,test_41,0
42,test_42,0
43,test_43,0
44,test_44,0
45,test_45,0
46,test_46,0
47,test_47,0
48,test_48,0
49,test_49,0
50,test_50,0
51,test_51,0
52,test_52,0
53,test_53,0
54,test_54,0
55,test_55,1
56,test_56,0
57,test_57,0
58,test_58,1
59,test_59,1
60,test_60,0
61,test_61,0
62,test_62,1
63,test_63,0
64,test_64,0
65,test_65,1
66,test_66,0
67,test_67,0
68,test_68,0
69,test_69,0
70,test_70,0
71,test_71,1
72,test_72,0
73,test_73,1
74,test_74,0
75,test_75,0
76,test_76,0
77,test_77,0
78,test_78,0
79,test_79,0
80,test_80,1
81,test_81,0
82,test_82,1
83,test_83,0
84,test_84,1
85,test_85,0
86,test_86,1
87,test_87,1
88,test_88,1
89,test_89,0
90,test_90,1
91,test_91,0
92,test_92,0
93,test_93,1
94,test_94,0
95,test_95,1
96,test_96,0
97,test_97,0
98,test_98,0
99,test_99,0
100,test_100,0
101,test_101,0
102,test_102,0
103,test_103,0
104,test_104,0
105,test_105,1
106,test_106,0
107,test_107,0
108,test_108,0
109,test_109,0
110,test_110,1
111,test_111,0
112,test_112,0
113,test_113,0
114,test_114,0
115,test_115,0
116,test_116,0
117,test_117,0
118,test_118,0
119,test_119,0
120,test_120,0
121,test_121,1
122,test_122,0
123,test_123,0
124,test_124,0
125,test_125,1
126,test_126,1
127,test_127,0
128,test_128,0
129,test_129,0
130,test_130,0
131,test_131,1
132,test_132,0
133,test_133,0
134,test_134,0
135,test_135,0
136,test_136,1
137,test_137,0
138,test_138,1
139,test_139,1
140,test_140,0
141,test_141,1
142,test_142,1
143,test_143,0
144,test_144,0
145,test_145,0
146,test_146,0
147,test_147,0
148,test_148,0
149,test_149,0
150,test_150,0
151,test_151,1
152,test_152,0
153,test_153,1
154,test_154,1
155,test_155,0
156,test_156,0
157,test_157,0
158,test_158,0
159,test_159,0
160,test_160,0
161,test_161,1
162,test_162,1
163,test_163,1
164,test_164,1
165,test_165,0
166,test_166,0
167,test_167,0
168,test_168,0
169,test_169,0
170,test_170,1
171,test_171,1
172,test_172,0
173,test_173,0
174,test_174,0
175,test_175,0
176,test_176,1
177,test_177,0
178,test_178,0
179,test_179,0
180,test_180,0
181,test_181,0
182,test_182,1
183,test_183,0
184,test_184,0
185,test_185,0
186,test_186,0
187,test_187,0
188,test_188,0
189,test_189,0
190,test_190,1
191,test_191,0
192,test_192,1
193,test_193,0
194,test_194,0
195,test_195,0
196,test_196,0
197,test_197,0
198,test_198,0
199,test_199,0
200,test_200,0
201,test_201,0
202,test_202,0
203,test_203,0
204,test_204,0
205,test_205,0
206,test_206,1
207,test_207,0
208,test_208,0
209,test_209,0
210,test_210,0
211,test_211,1
212,test_212,0
213,test_213,1
214,test_214,0
215,test_215,1
216,test_216,0
217,test_217,1
218,test_218,0
219,test_219,1
220,test_220,1
221,test_221,0
222,test_222,1
223,test_223,1
224,test_224,0
225,test_225,0
226,test_226,0
227,test_227,0
228,test_228,0
229,test_229,0
230,test_230,0
231,test_231,0
232,test_232,0
233,test_233,1
234,test_234,0
235,test_235,0
236,test_236,1
237,test_237,0
238,test_238,0
239,test_239,1
240,test_240,0
241,test_241,1
242,test_242,0
243,test_243,0
244,test_244,0
245,test_245,0
246,test_246,0
247,test_247,0
248,test_248,0
249,test_249,1
250,test_250,1
251,test_251,0
252,test_252,0
253,test_253,0
254,test_254,0
255,test_255,0
256,test_256,0
257,test_257,0
258,test_258,0
259,test_259,0
260,test_260,0
261,test_261,1
262,test_262,0
263,test_263,0
264,test_264,1
265,test_265,1
266,test_266,0
267,test_267,1
268,test_268,0
269,test_269,0
270,test_270,1
271,test_271,1
272,test_272,0
273,test_273,0
274,test_274,1
275,test_275,0
276,test_276,0
277,test_277,0
278,test_278,0
279,test_279,0
280,test_280,0
281,test_281,0
282,test_282,0
283,test_283,0
284,test_284,1
285,test_285,0
286,test_286,0
287,test_287,0
288,test_288,1
289,test_289,0
290,test_290,1
291,test_291,0
292,test_292,1
293,test_293,0
294,test_294,0
295,test_295,0
296,test_296,1
297,test_297,1
298,test_298,0
299,test_299,0
300,test_300,0
301,test_301,0
302,test_302,1
303,test_303,0
304,test_304,0
305,test_305,1
306,test_306,0
307,test_307,1
308,test_308,0
309,test_309,0
310,test_310,0
311,test_311,0
312,test_312,0
313,test_313,1
314,test_314,0
315,test_315,1
316,test_316,0
317,test_317,1
318,test_318,0
319,test_319,0
320,test_320,0
321,test_321,1
322,test_322,0
323,test_323,1
324,test_324,0
325,test_325,1
326,test_326,0
327,test_327,0
328,test_328,0
329,test_329,1
330,test_330,0
331,test_331,0
332,test_332,0
333,test_333,0
334,test_334,0
335,test_335,0
336,test_336,0
337,test_337,0
338,test_338,1
339,test_339,1
340,test_340,0
341,test_341,1
342,test_342,0
343,test_343,0
344,test_344,0
345,test_345,0
346,test_346,1
347,test_347,0
348,test_348,0
349,test_349,1
350,test_350,0
351,test_351,0
352,test_352,0
353,test_353,0
354,test_354,0
355,test_355,1
356,test_356,0
357,test_357,1
358,test_358,0
359,test_359,0
360,test_360,0
361,test_361,1
362,test_362,0
363,test_363,0
364,test_364,0
365,test_365,0
366,test_366,0
367,test_367,0
368,test_368,0
369,test_369,0
370,test_370,0
371,test_371,0
372,test_372,0
373,test_373,0
374,test_374,0
375,test_375,1
376,test_376,0
377,test_377,0
378,test_378,0
379,test_379,0
380,test_380,0
381,test_381,0
382,test_382,0
383,test_383,1
384,test_384,0
385,test_385,0
386,test_386,1
387,test_387,0
388,test_388,0
389,test_389,0
390,test_390,0
391,test_391,0
392,test_392,1
393,test_393,0
394,test_394,1
395,test_395,0
396,test_396,1
397,test_397,0
398,test_398,0
399,test_399,0
400,test_400,1
401,test_401,0
402,test_402,0
403,test_403,0
404,test_404,0
405,test_405,0
406,test_406,0
407,test_407,0
408,test_408,0
409,test_409,0
410,test_410,0
411,test_411,0
412,test_412,0
413,test_413,1
414,test_414,0
415,test_415,1
416,test_416,1
417,test_417,0
418,test_418,0
419,test_419,0
420,test_420,1
421,test_421,0
422,test_422,0
423,test_423,0
424,test_424,1
425,test_425,0
426,test_426,1
427,test_427,0
428,test_428,0
429,test_429,0
430,test_430,0
431,test_431,1
432,test_432,0
